SOURCE,TARGET
61393,41502
61393,54136
61393,26398
61393,26979
61393,32095
61393,16496
61393,1
61393,24967
61393,65676
61393,88931
62483,23570
62496,3313
62496,9446
62496,47566
62496,391689
62965,24967
62965,9446
62965,26398
62965,53892
62965,30906
62965,26979
62965,241634
62965,214652
62965,99340
63971,58600
63971,3313
63971,85586
63971,27072
63971,282537
64383,9446
64383,24967
64383,50674
64383,100456
64383,386087
65088,24967
65088,26979
65088,35821
65088,16496
65088,36762
65088,46549
65451,44756
65470,3313
65470,24967
65470,9446
65470,65088
65470,26979
65470,146719
65776,35733
65776,9446
65776,124982
65776,1
65776,4166
65776,54136
65776,24967
66273,65676
66273,2104556
66273,1879760
66880,1167326
68459,75278
68459,595250
68459,98581
68459,183932
68621,49344
68621,60422
68905,91990
68905,56282
68905,77320
68905,373605
68905,1037976
68912,9446
68912,1678604
68912,24967
68912,35733
69463,386087
69496,258568
69706,99340
69706,780508
69706,98730
69959,36762
69959,26979
69959,1678604
69959,24967
70190,125814
70190,449000
70474,58897
70474,67977
70474,49940
70474,26979
70474,77539
71563,26979
71563,9446
71563,23
71563,24967
71764,16747
71764,761344
72475,3064
72475,46549
72475,148199
72810,112345
72871,65470
72964,213574
72964,60936
73183,58600
73545,47098
73854,4166
74392,52142
74669,24967
74669,128537
74669,9446
74669,65776
76026,9446
76026,53892
76026,183018
76026,31033
76026,33240
76245,214652
76245,372772
77320,35733
77320,9034
77320,9446
77453,227761
77453,49344
77599,160302
77785,6521
77785,85586
77785,35821
77785,116053
77805,36762
77805,65776
77805,82971
78665,25701
78665,44261
78665,128537
78665,61203
78665,146719
78665,33667
78965,1037606
78965,389011
78965,2412664
81456,5449
81456,19668
81456,76919
81456,31977
81456,250993
82964,9446
82964,23
82971,19836
82971,3555
82971,36762
83474,99340
83474,26398
83474,107158
83474,254778
84263,79230
84263,241634
84886,1467782
84886,1
84886,214652
84886,9446
84886,54136
84886,26979
85586,24967
85586,26979
85586,58600
85586,3313
85586,2840
85586,33290
85586,78040
85586,9446
85586,35821
85730,65776
85730,395439
86106,9446
86106,99340
86106,49344
86106,22211
86970,595658
86970,551936
87203,1825768
87585,258568
87585,226976
87585,262198
87969,54136
87969,24967
87969,35733
87969,41502
87969,124982
87969,9446
88338,93254
88338,92096
88338,331594
88338,101665
88338,615672
88701,35821
88701,41502
88701,24967
88701,9446
88701,65676
88931,54136
88931,78040
88931,24967
91990,36762
91990,4063
91990,75278
93488,157725
93488,4166
93488,258568
93488,241634
93488,99340
93488,65776
93488,37286
93488,274980
93488,881620
93488,9446
94289,58897
95785,166383
95785,153998
95785,44261
96002,5212
96002,67296
96002,33420
98730,155601
98730,258568
98730,10083
98799,52142
99340,26979
99340,241634
99340,9446
99340,24967
99340,1037976
99340,65776
99340,157725
99340,35733
99340,49851
99340,107158
99777,9446
99777,26979
99777,65470
99777,14572
100267,348228
100291,68912
100919,24967
100919,172120
101412,72806
101412,92012
103553,26979
103553,53892
103553,46483
103553,124982
103553,18981
103634,24967
104378,51132
104378,240860
104378,98079
104378,276290
104378,275808
104378,262245
104378,108450
104378,49282
104378,1773
104378,24967
104378,35821
104378,100456
104378,74425
104378,153998
104378,192989
105524,32095
105524,67660
105524,85586
105524,748566
105777,4166
105777,58654
105777,59215
106070,49344
106070,51132
106134,1682402
106885,567694
106885,412650
107158,54136
107158,99340
107158,4166
107158,254778
107158,39567
107158,16747
107158,183211
107158,9446
107158,214652
107229,107403
107229,99777
107229,62965
107229,17943
107229,960720
107403,54136
107403,9446
107403,39567
107403,1678604
107403,157725
107403,26979
107403,78040
107403,35733
107667,224499
107667,36942
107667,24967
107667,65088
107667,83474
107667,397618
107667,244597
107780,30957
108450,104378
108450,24967
108450,35821
108450,51132
108450,26979
109248,9446
109248,352587
109248,59215
109248,58645
109335,591932
109870,24967
109870,65088
109870,454444
109890,120651
109890,278450
109890,36762
110386,33420
110386,3313
110518,241220
111145,65676
111145,697210
111145,694726
111145,58666
111437,24967
111437,258568
111437,226976
112063,1678604
112063,96935
112063,24967
112063,34869
112063,67977
112063,77539
112063,168251
112345,35266
112345,65776
112345,218525
112345,24967
112345,139189
112345,118406
112345,1431110
112345,395439
112345,3235635
112352,1198438
112500,168251
112500,54136
113268,62965
114207,804134
114444,52142
115695,68905
115695,80733
115695,4166
115695,258568
115856,59702
116002,118908
116002,257311
116053,3313
116201,35266
116201,1508390
116231,30906
116397,22211
116397,598310
116893,49344
116893,241634
116893,24967
116893,9446
116893,115444
117368,1531
117368,4063
118398,26398
118857,183956
118857,254778
118857,99340
118908,9446
118908,54136
118908,35733
118908,99340
118908,241634
119432,820356
120351,464624
120351,18219
120351,1773
120651,36762
120651,278450
120651,109890
120651,24967
120651,153963
120651,150473
120651,35821
120651,27802
120651,139334
122101,49344
122101,30906
122101,63775
122101,118449
122101,49817
122101,16581
122101,86106
122101,959536
122464,4063
122682,49851
122682,266779
122682,122101
122682,107403
123987,744628
123987,19501
125378,321496
125751,448086
126783,159507
126783,1018262
126783,391852
127091,234612
127091,458578
127556,89512
128191,262198
128191,63155
128191,73183
128191,175891
128537,24967
128537,16496
128537,65776
128537,9446
128537,20975
128537,30906
128537,36762
128537,1531
128537,65088
128537,93254
128537,146719
128537,4426
128652,214652
128652,227761
129088,657848
129588,65776
129588,9446
129588,155601
130342,959536
130909,32095
130909,222241
130909,264148
130909,82971
130909,3555
132175,56020
132175,54136
132175,9446
132175,26979
133806,38580
134177,361698
134782,147188
135190,9371
138216,24967
138216,9446
138216,168251
138216,241634
138230,19668
138230,253430
138230,501688
138305,158153
138305,774070
138388,125473
138388,631904
138388,359937
139189,24967
139189,258568
139189,36762
139855,24967
139855,9446
139855,46549
139855,1
139855,4166
139855,124982
139855,128537
140080,349968
141706,62496
141706,208732
141706,24967
143056,61203
143172,9446
143172,24967
143172,36762
143496,271780
143496,10297
143496,19044
145613,42327
146719,26979
146719,26398
146719,24967
146719,54136
146719,820332
146719,244460
146719,99777
146719,94675
147794,26979
147794,85586
147794,104
148199,30906
148199,24967
148199,54136
148199,65776
148199,241634
148199,36762
148199,128537
148199,147331
149225,72958
149225,59025
149225,72964
149225,112500
149225,724750
149225,168251
149225,402562
149580,262198
150331,85730
150473,36762
150473,27802
150473,91990
150473,120651
150473,16496
150473,139334
150473,244460
151671,32095
151671,26398
151868,112500
151868,168251
152678,184408
152678,376463
152678,8389
152678,128191
153116,52142
153116,95964
153116,89684
153120,5449
153120,49851
153120,266779
153888,1850070
153963,120651
153963,9446
153963,27802
153963,53892
153963,36762
153963,65676
153963,109890
153963,33420
153963,298852
153963,24967
153963,103935
153963,264833
153963,31731
153998,128537
153998,24967
153998,65088
153998,166383
153998,239911
153998,16747
153998,362406
153998,26398
153998,255704
154069,298852
154069,36762
154069,153963
154069,680072
154086,87585
154086,45934
154086,99340
155601,24967
155601,241634
155601,214652
155601,9446
155601,4166
155601,65088
155601,1
156237,86106
156237,367701
156237,49344
156237,729614
156237,71764
156237,16132
156600,30906
156600,209141
157725,54136
157725,128537
157725,107403
157725,9446
157846,628748
158153,99777
158153,258568
158153,4166
158886,24967
158886,128537
158886,155601
158886,139855
158886,65088
158886,61873
158886,9446
159507,151868
159507,13085
159638,35266
159638,103796
160302,693738
160302,42327
160302,85586
160302,172987
160302,1167326
160302,75278
160302,24967
160479,81488
160479,241220
160918,65676
160918,37679
160918,56154
160918,338433
160918,747308
161058,59025
161058,244460
161263,26398
161263,81067
161263,392906
161263,161913
161913,157079
161913,24967
162357,68912
162357,24967
162357,33667
163683,1
163683,26979
163683,69959
163683,265008
163683,125573
163683,9446
163683,5449
163683,18703
163683,23
163683,36762
163683,65776
163683,33570
163683,118406
163839,262198
164217,58600
165145,17157
165145,160468
165145,153998
165145,33420
165811,38580
165811,65776
165811,241634
165811,589074
165811,99340
165878,77539
165878,159141
165878,118452
165878,761344
165878,616192
165878,162305
166970,24967
166970,23
168440,890274
169037,65776
169037,155601
169668,66207
169668,155601
169668,67660
169668,128537
169668,32696
169668,17995
169668,52557
172312,49385
172312,632564
172312,309607
172312,116397
172312,263678
172312,24967
172527,65776
172527,24967
172527,241634
172527,107403
172527,9446
172987,75278
172987,26398
173461,29137
175891,3313
175891,128191
175891,24967
175891,146719
175968,66163
175968,65470
175968,128191
175968,385042
176391,8389
176391,376463
176391,717290
177088,2375
177088,364178
177445,31033
177445,151344
181454,787114
181798,36762
181798,262198
183211,54136
183211,39567
183211,35733
183211,24967
183211,4481
183211,9446
183956,99340
184527,68912
185336,1463982
185336,1167326
185336,85586
186334,246646
186970,33240
186970,358731
186970,1036766
188162,26398
188162,9446
188162,24967
188603,727580
188603,748566
188603,65676
188603,92096
188603,89718
188603,16496
191182,35733
191182,409
191182,94675
191212,79082
191212,426416
191261,218671
191261,66162
191261,372772
191261,76245
191261,44261
191261,25701
191261,35821
191261,85586
191498,470032
191498,1817468
191552,63155
191552,317704
191552,198090
191965,9446
195261,36762
195261,69959
195261,235047
195261,91990
196837,643820
197160,49817
197160,122101
197160,39078
199064,24967
199303,9446
199303,4166
201481,216107
201481,80260
202205,972
205582,16747
205582,59747
205582,262198
205582,5449
205582,729614
205645,24967
205645,241634
205645,99340
205645,9446
205645,395439
205645,83205
205645,70688
206687,258568
206687,36762
206687,30906
208387,65776
208387,684452
208568,122101
208568,50717
208568,25348
208732,34869
208732,33570
208732,24967
208732,22211
208732,23
209141,30906
210402,1358080
210402,262198
210464,238439
210499,201798
210687,779688
212019,24967
212019,26398
213194,99340
214652,9446
214652,26398
214652,35733
214652,22211
214652,53892
216580,301087
216580,33570
218259,10692
218368,99340
218368,57511
218368,229048
218368,124705
218525,35266
218525,24967
218525,1773
218525,38580
218525,1198144
218525,395439
219410,62965
220119,1167326
220136,85730
220136,68912
220136,184527
220136,213025
220136,471650
220136,57130
220136,1295980
220177,108450
220177,258568
220177,125473
220177,138388
220177,294937
220747,5622
220747,51132
220747,455130
220747,1799550
220747,336254
220747,1511704
221967,748566
221967,65776
222661,191498
222661,470032
222661,962636
222962,1616656
224499,99340
224499,26979
224499,27985
224499,24967
224499,9446
224499,107667
224499,83474
224754,79076
226712,214652
226712,227761
226976,65776
226976,24967
226976,9446
226976,241634
226976,155601
226976,660472
226976,258568
227416,191339
227761,9446
227761,214652
227761,77453
227814,1167326
227814,258568
227849,1531
227849,5449
227849,187099
227849,471666
228295,4481
228295,359937
228295,16747
228295,59747
228295,262198
228295,761344
228431,467284
228712,201798
228712,61114
228712,78134
228712,26979
228712,58897
228712,1
229127,31977
229127,56154
229127,37679
229127,595658
229127,86970
229127,551936
231429,350460
231429,653384
231429,717826
232224,293298
232224,122101
232224,57894
232224,735352
232224,374355
232224,1231448
232224,408170
233651,154797
234000,226976
234000,241634
234000,65776
234000,1167326
234472,1463982
234472,382067
234751,21629
235047,36762
235047,85586
235047,23
235047,75278
235047,24967
235345,589074
235438,195461
235438,1499798
236439,1564318
236758,155601
236758,65776
237346,53372
237346,55341
238018,488704
238033,139855
238033,282446
238439,122101
238439,682736
238439,780508
238638,78040
239562,24967
239562,53892
239562,30906
239562,9446
239562,258568
239911,128537
239962,26979
239962,107403
239962,30906
239962,68284
239962,1312210
239962,16747
240860,51132
241220,160479
241220,81488
241276,643820
241276,214652
241634,34869
241634,35821
241634,112500
241634,168251
241634,53892
241634,26979
241634,24967
241634,9446
241634,139855
241634,54136
241634,99340
241634,36762
241634,75278
241634,1037976
241634,78040
241652,372123
241652,101412
242659,45874
242659,241634
243255,93254
243377,54136
243377,99340
243500,85586
243500,65776
244227,54136
244460,31022
244460,146719
244597,83474
244597,36942
244597,107667
246154,266779
246154,14944
246154,12363
248932,1879760
248932,688610
249517,60422
249768,24967
249768,36762
249768,139334
249768,98581
249768,150473
249768,17190
249768,35821
251087,501638
251087,104631
251739,1167326
251739,79230
251739,24167
251739,87885
252608,168934
252788,245817
252788,4166
253430,19668
254158,751964
254158,4166
255733,118908
255969,1850070
256027,8859
256027,122464
256027,666176
256027,1345130
258167,118637
258172,101816
258364,157498
258364,183956
258568,53081
258568,47874
258568,23570
258568,36762
258568,65776
258568,4166
258568,24967
258568,9446
258568,157725
259511,16496
259511,65088
259511,24967
259511,32095
261457,25701
261457,20975
261457,53892
261457,9446
261457,26398
261457,26979
262120,214652
262120,65776
262120,748566
262198,16747
262198,36762
262198,56020
262198,59747
262198,392906
262245,748566
262245,100456
263678,1828874
263678,309607
264148,54136
264148,4166
264148,24967
264148,26979
264148,9446
264148,139855
264148,107403
264569,395439
265008,9446
265008,54136
265171,85730
265171,89146
265648,61393
265648,107403
265648,87969
266527,258568
266527,36762
266779,14944
266779,192534
266779,23897
266779,181494
266779,239700
266779,5449
266779,49851
266779,246154
266779,144965
266803,100420
267416,1850070
267481,59215
270024,1195752
270024,1540340
271230,9446
271230,24967
271230,258568
271230,65776
271282,258568
271282,226976
271780,52142
272357,8389
272357,53892
272357,430759
272357,26398
272357,24967
272357,1
272357,166383
272357,114508
272357,18703
272357,376463
273404,16734
273404,384600
273404,75278
274559,49851
274559,1850070
274559,258568
274559,160302
275226,1773
275249,450370
275249,972
275619,48877
276698,33528
276698,346823
276698,65088
276698,1531
276698,24967
276698,155601
276698,809684
276995,9446
276995,52142
276995,160302
277051,9446
277051,69959
277051,712186
277051,45640
278167,258568
278167,33570
278343,890274
278343,168440
278343,248932
278343,1879760
278343,688610
279881,1167326
279881,1463982
282415,262043
282415,682736
282415,398572
282415,39567
282415,107403
282629,744628
282629,77320
282629,148756
282629,19501
286912,29899
288060,293443
288060,611528
288260,608670
288260,240860
290182,53892
290182,69959
290182,78040
